Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2012,'490890000',  ,KG,0,336183,1062562,0,35606,90630,0,17616,59273,0,36609,91451,0,24791,61573,0,32428,108012,0,18696,64647,0,24930,94172,0,27566,90552,0,39814,121876,0,26913,95964,0,16776,73429,0,34438,110983
2,2012,'490900000',  ,KG,0,1085675,1914112,0,63664,119741,0,52312,93185,0,86726,156992,0,54757,125339,0,85449,131651,0,68456,106179,0,94102,138540,0,147697,318972,0,137628,215094,0,111226,169325,0,99250,198264,0,84408,140830
2,2012,'491000010',  ,KG,0,5775709,2615430,0,49676,21705,0,10916,9240,0,13411,8989,0,62338,24977,0,218050,60060,0,154428,85915,0,462601,221441,0,1079423,518482,0,1078196,453078,0,1550635,687693,0,971465,441091,0,124570,82759
2,2012,'491000090',  ,KG,0,72754,72057,0,1195,974,0,0,0,0,602,686,0,2494,1482,0,2986,2863,0,3395,6956,0,2818,3234,0,19449,9018,0,5103,8003,0,13593,15384,0,16031,19161,0,5088,4296
2,2012,'491110000',  ,KG,0,18081738,9549797,0,1265142,778628,0,1045118,453091,0,1583209,585334,0,1540540,584068,0,2061936,1549883,0,1439228,991865,0,1443048,600574,0,1719592,1236912,0,1173693,671707,0,1589839,752998,0,1322136,691473,0,1898257,653264
2,2012,'491191010',  ,KG,0,364966,2122388,0,51778,181106,0,32169,203702,0,19738,152498,0,24960,153757,0,26767,141788,0,25403,170575,0,19586,160713,0,54004,286898,0,25368,177102,0,14990,119949,0,48417,198669,0,21786,175631
2,2012,'491191090',  ,KG,0,478191,1218719,0,62979,75454,0,25845,73784,0,26859,72687,0,43492,82353,0,35210,92895,0,39481,96210,0,45061,86551,0,83541,102580,0,31877,80623,0,27149,77772,0,25699,303663,0,30998,74147
2,2012,'491199000',  ,KG,0,4919608,29097079,0,438467,1648221,0,271686,1622360,0,282894,2170169,0,300041,1561048,0,511711,2356323,0,368170,2119928,0,393232,1612123,0,518019,2136544,0,458479,1882955,0,509678,2244867,0,480547,5035007,0,386684,4707534
2,2012,'500100010',  ,KG,0,6250,8901,0,1500,2327,0,2000,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1795,0,1750,3182,0,0,0,0,0,0
2,2012,'500200100',  ,KG,0,4879,29409,0,1208,7980,0,0,0,0,0,0,0,602,4276,0,0,0,0,730,3991,0,0,0,0,0,0,0,643,3652,0,20,309,0,0,0,0,1676,9201
2,2012,'500200211',  ,KG,0,2913,12304,0,0,0,0,617,1971,0,323,1078,0,0,0,0,315,1072,0,0,0,0,336,2276,0,304,1973,0,0,0,0,411,1462,0,309,1111,0,298,1361
2,2012,'500200213',  ,KG,0,29055,123787,0,4239,18332,0,920,4775,0,2544,10949,0,0,0,0,4207,16491,0,2452,11087,0,4338,16649,0,1236,5743,0,1195,4558,0,2388,10492,0,5536,24711,0,0,0
2,2012,'500200216',  ,KG,0,66090,342932,0,3011,13654,0,4852,25621,0,2421,12640,0,0,0,0,10841,56149,0,3577,17924,0,6632,32977,0,3644,17965,0,7582,40479,0,6367,33927,0,7838,41058,0,9325,50538
2,2012,'500200217',  ,KG,0,503881,2188895,0,63859,267548,0,22494,100548,0,50520,218511,0,0,0,0,90085,394438,0,21547,94773,0,26924,115842,0,48997,203377,0,44681,189797,0,38757,162855,0,53631,239303,0,42386,201903
2,2012,'500300012',  ,KG,0,6457,11639,0,1662,2471,0,400,1100,0,0,0,0,331,320,0,674,1724,0,0,0,0,0,0,0,0,0,0,1830,2699,0,510,1588,0,790,637,0,260,1100
2,2012,'500300019',  ,KG,0,107023,115040,0,6141,10411,0,13400,8986,0,14219,11148,0,18265,17459,0,7513,6814,0,2044,3211,0,12360,16802,0,10342,12900,0,4433,6035,0,3734,5920,0,11352,11674,0,3220,3680
2,2012,'500300090',  ,KG,0,73351,166364,0,14983,35494,0,329,1092,0,3400,10507,0,5220,10431,0,4840,11960,0,6889,17099,0,10381,18128,0,6520,13856,0,4140,9207,0,6052,13759,0,5542,12522,0,5055,12309
2,2012,'500400000',  ,KG,0,970761,4399777,0,95395,405890,0,45453,207271,0,68558,316075,0,65510,307104,0,91881,414432,0,78988,362375,0,92647,428911,0,89924,401077,0,81877,359966,0,91390,410078,0,96727,431201,0,72411,355397
2,2012,'500500010',  ,KG,0,482523,1607036,0,54419,174633,0,30158,103974,0,35983,116925,0,33834,111098,0,40670,138393,0,30172,102678,0,51651,169498,0,36243,115328,0,41407,137155,0,36456,123769,0,46908,153977,0,44622,159608
2,2012,'500500090',  ,KG,0,140188,133048,0,10417,11433,0,9001,9234,0,14610,12057,0,7490,6318,0,19364,18022,0,14167,13864,0,12867,11219,0,15566,15136,0,12336,10799,0,6760,8108,0,9138,8423,0,8472,8435
2,2012,'500600010',  ,KG,0,668,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,7,234,0,10,304,0,0,0,0,23,731,0,0,0,0,233,866,0,395,3130,0,0,0
2,2012,'500710020',SM,KG,11837,1779,9963,785,102,800,1573,205,1577,16,5,202,0,0,0,573,31,380,1137,307,1457,1601,319,941,3234,463,2272,225,28,294,1127,78,810,537,48,440,1029,193,790
2,2012,'500720010',SM,KG,1200,87,2147,0,0,0,33,4,295,0,0,0,0,0,0,0,0,0,0,0,0,570,26,314,99,10,223,0,0,0,491,35,1073,0,0,0,7,12,242
2,2012,'500720021',SM,KG,4796,500,3398,0,0,0,0,0,0,0,0,0,2256,238,1538,0,0,0,0,0,0,1532,152,1290,1008,110,570,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'500720029',SM,KG,201900,25389,202285,16215,1748,13951,6528,726,5896,13780,1688,13097,13190,1603,13925,17183,2078,17407,21375,2451,19617,19512,2292,18208,19334,2736,20430,18465,2380,17485,17782,2474,17683,18118,2544,21375,20418,2669,23211
2,2012,'500720031',SM,KG,2635,364,4614,1666,212,1919,0,0,0,317,77,1756,513,45,338,139,30,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'500720033',SM,KG,5743,542,15678,1158,163,3217,366,9,969,416,41,1677,105,12,865,270,26,1305,0,0,0,0,0,0,0,0,0,82,25,245,1917,158,4099,617,44,786,812,64,2515
