Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2019,'722720000',  ,KG,0,5122289,635306,0,249967,29988,0,182629,22924,0,468693,60674,0,597598,72705,0,605371,74630,0,402780,49748,0,615807,76739,0,567023,69513,0,313170,39156,0,314160,39941,0,486373,61020,0,318718,38268
2,2019,'722790010',  ,KG,0,70154,30110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69554,29350,0,0,0,0,0,0,0,600,760,0,0,0
2,2019,'722790021',  ,KG,0,21421814,1527369,0,3687105,273896,0,2191048,150969,0,1800780,126673,0,1072808,81623,0,2372172,172075,0,932377,68267,0,3155498,220808,0,1988750,136618,0,2022653,137839,0,813630,58755,0,576807,41477,0,808186,58369
2,2019,'722790029',  ,KG,0,80319812,5799659,0,7158032,520672,0,8769865,609188,0,8510516,591153,0,7398510,544890,0,5416050,401539,0,4777378,370569,0,4218763,353101,0,5355525,393794,0,9960170,693596,0,4808454,353184,0,6675572,461268,0,7270977,506705
2,2019,'722810000',  ,KG,0,776519,1595429,0,89678,184567,0,30655,73201,0,47238,111040,0,76323,173324,0,81051,188150,0,74454,136351,0,73151,147536,0,85899,174019,0,62549,113320,0,46040,98454,0,48509,87264,0,60972,108203
2,2019,'722820000',  ,KG,0,2259838,393540,0,173835,35789,0,93758,16314,0,146137,32116,0,165497,29591,0,187338,30846,0,220440,38922,0,257060,40003,0,189377,32021,0,227862,37876,0,197765,27810,0,221786,42059,0,178983,30193
2,2019,'722830010',  ,KG,0,778916,508207,0,147724,62904,0,52497,25568,0,82476,64792,0,82053,62547,0,23966,21959,0,39097,29139,0,52271,56280,0,77119,53130,0,58686,25249,0,55621,48272,0,70685,43146,0,36721,15221
2,2019,'722830020',  ,KG,0,62880124,6280358,0,4915043,537740,0,7141353,704489,0,6379728,659212,0,4321345,488658,0,5980113,594412,0,4557722,489730,0,5871766,536955,0,3256604,327639,0,5194685,467588,0,3584728,376582,0,6497641,589949,0,5179396,507404
2,2019,'722840010',  ,KG,0,32371,29220,0,200,202,0,70,2141,0,0,0,0,5490,7133,0,0,0,0,14824,4725,0,0,0,0,4600,1685,0,3322,5400,0,51,2169,0,1324,2363,0,2490,3402
2,2019,'722840020',  ,KG,0,1484571,408425,0,167382,38450,0,138684,44135,0,45214,14099,0,97822,23116,0,96488,57660,0,123093,29920,0,111651,18908,0,116405,68525,0,223303,38316,0,67543,12504,0,178139,38475,0,118847,24317
2,2019,'722850010',  ,KG,0,66099,67326,0,312,736,0,404,597,0,3332,22275,0,22184,6544,0,26660,6993,0,508,2084,0,61,1039,0,8466,6319,0,2856,12677,0,34,279,0,1224,6701,0,58,1082
2,2019,'722850020',  ,KG,0,1917162,773962,0,212617,45421,0,172305,68044,0,70885,34352,0,200388,88284,0,153280,98661,0,102823,42149,0,150132,50850,0,150545,117261,0,195045,72039,0,234415,65430,0,162963,54903,0,111764,36568
2,2019,'722860010',  ,KG,0,429,3330,0,0,0,0,0,0,0,196,698,0,30,209,0,0,0,0,15,202,0,0,0,0,136,1375,0,52,846,0,0,0,0,0,0,0,0,0
2,2019,'722860020',  ,KG,0,2036548,530762,0,197294,46128,0,336779,89443,0,216236,58491,0,211167,57447,0,231824,59850,0,105575,27772,0,115456,30754,0,155322,37938,0,127480,31135,0,144028,38853,0,73798,17707,0,121589,35244
2,2019,'722870010',  ,KG,0,408,922,0,408,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'722870020',  ,KG,0,42393123,2810967,0,3548508,245664,0,4614839,318871,0,5132164,349854,0,1409622,98678,0,3437076,228618,0,1068805,73345,0,7145623,472646,0,2042014,134508,0,4321872,281118,0,6496,2827,0,3172655,204184,0,6493449,400654
2,2019,'722880000',  ,KG,0,13943,115341,0,1658,11838,0,710,5829,0,1341,10982,0,501,5219,0,2135,16703,0,1355,11078,0,3218,27275,0,207,1614,0,0,0,0,2256,19598,0,395,4097,0,167,1108
2,2019,'722920000',  ,KG,0,34740424,4970829,0,3440510,484965,0,2344920,333450,0,3209378,452895,0,3070437,447438,0,2905686,419217,0,2760625,399729,0,2915508,428050,0,2786524,403444,0,2789205,410690,0,2495980,360590,0,3251472,457404,0,2770179,372957
